Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Source Port,Destination Port,Label
3237,5,3,1414,3645,24864,920,BENIGN
3197,18,20,1309,2272,43780,652,BENIGN
3755,5,4,1168,4235,16798,8,BENIGN
4944529,4166,0,81,0,33471,80,DDoS
5162,2,7,768,1364,13908,410,BENIGN
4112,3,15,1070,1802,16228,491,BENIGN
3615,3,17,439,2810,10678,676,BENIGN
6646,20,9,164,1333,24069,264,BENIGN
1029156,1293,4,95,0,37950,80,DDoS
946,14,3,1389,360,62511,704,BENIGN
75,2,0,0,0,14314,45973,PortScan
8503,11,20,1293,4727,53290,201,BENIGN
2895,12,5,130,3955,11624,581,BENIGN
7487,17,2,274,887,14588,114,BENIGN
28204,7,16,806,196,19414,8080,Bot
4817,4,19,311,4172,13926,837,BENIGN
4681,13,4,1303,2150,56446,816,BENIGN
37482,99,99,44494,26802,41332,445,Infiltration
3239,12,16,1252,3609,23676,964,BENIGN
29322,98,88,11771,46022,2596,445,Infiltration
9440,1,6,1077,486,44314,747,BENIGN
97,2,0,0,0,16173,27368,PortScan
7016,13,6,1008,3367,49924,936,BENIGN
8731,20,17,924,3775,44257,301,BENIGN
1827,13,1,750,2950,4057,495,BENIGN
5407,16,8,441,1205,18254,303,BENIGN
4090,10,19,945,90,24567,505,BENIGN
31,2,0,0,0,2086,63535,PortScan
6896,18,17,1365,1083,36106,609,BENIGN
8387,15,6,982,2811,3229,499,BENIGN
796,8,11,1008,1065,25207,258,BENIGN
3569,19,19,484,1011,14882,684,BENIGN
68,2,0,0,0,46605,55290,PortScan
8738,6,14,882,2899,50866,289,BENIGN
5677,14,2,769,4100,61596,104,BENIGN
33688,24,19,776,342,29758,8080,Bot
994,11,20,186,1241,55770,931,BENIGN
9097,5,2,946,687,39206,64,BENIGN
426,3,6,1418,1646,43266,549,BENIGN
4856,18,4,204,3127,51629,561,BENIGN
5622,9,20,448,3480,48833,403,BENIGN
9855,14,5,1097,3676,1509,48,BENIGN
9910,12,9,383,3234,5971,1018,BENIGN
2134,15,11,951,2125,49730,959,BENIGN
6851,7,9,729,2744,8481,891,BENIGN
9831,9,2,1156,1543,21894,945,BENIGN
7537,9,18,1098,2980,16246,158,BENIGN
3580031,2769,3,66,0,30943,80,DDoS
5491,4,5,488,1118,47507,894,BENIGN
8423,7,15,1133,1215,41233,7,BENIGN
8293,1,1,1436,3356,51162,570,BENIGN
4011,10,1,230,3649,32854,558,BENIGN
9444,5,13,147,3226,14231,400,BENIGN
3555,1,5,753,1877,55791,292,BENIGN
1791,3,10,1444,3976,58224,147,BENIGN
868,18,8,413,3374,43678,496,BENIGN
62,2,0,0,0,45098,38080,PortScan
1040,16,6,743,386,8128,409,BENIGN
8816,12,8,1215,3501,8981,799,BENIGN
1808,17,12,754,436,26009,116,BENIGN
54,2,0,0,0,39504,39414,PortScan
5717,12,1,114,4843,30442,321,BENIGN
